module,r_surv,r_init,slack_P,slack_Q,maxcos,meancos,stable_rank,sr_over_r,lam_max,lam_min
h0.mlp.c_f,60,60,126.48876906614562,170.15391479024206,0.9402134189219657,0.6497247589217766,1.021987924162372,0.017033132069372865,0.1396089494228363,0.05360708758234978
h1.mlp.c_f,62,62,84.16953675090474,75.57654116118582,0.8659019191196788,0.5214297497369844,1.036098526680512,0.016711266559363096,0.14058823883533478,0.037351056933403015
h23.mlp.c_f,64,64,67.83393619792427,67.54508711696502,0.9074301225178746,0.5825105104123571,1.0186683093249684,0.015916692333202632,0.11382881551980972,0.039555009454488754
h2.mlp.c_f,64,64,48.20022958523665,46.59609546421254,0.8201960116082767,0.482645050548766,1.0907430452045996,0.01704286008132187,0.10293272137641907,0.04211339354515076
h23.attn.c_att,64,64,44.15006451640391,245.29339259528763,0.9637964825829641,0.86707047923247,1.0027590309015566,0.015668109857836822,0.16784796118736267,0.0537341870367527
h1.attn.c_att,48,48,31.671745166296862,25.197063548319196,0.7899071235113354,0.4260066881207323,1.0315582283552531,0.021490796424067773,0.0824696496129036,0.02198706567287445
h22.mlp.c_f,59,59,22.040735562441718,23.396794444908092,0.7908628741823018,0.3595670151691623,1.0677997834287207,0.018098301414046114,0.09112732857465744,0.016703827306628227
h21.mlp.c_f,60,60,21.561997037802858,18.97477536893636,0.740146984235492,0.3597494595837747,1.088012814499303,0.018133546908321717,0.07938927412033081,0.020765019580721855
h22.attn.c_att,59,59,18.149285726321047,75.90629424035227,0.9081027037044767,0.6956309996173632,1.0187955505220823,0.01726772119528953,0.11877968162298203,0.037511974573135376
h4.mlp.c_f,57,57,16.98883839403538,8.44212747489602,0.48775885983126616,0.21691308214019234,1.2821214204157012,0.022493358252907037,0.09668111801147461,0.027156246826052666
h0.mlp.c_pro,58,58,14.6834664117582,59.68542062563804,0.714312626763503,0.21419105709770028,1.3398603992836575,0.02310104136695961,0.13496294617652893,0.02547609433531761
